fornavn,år,antall
Aileen,2024,260.0
Ailin,2013,342.0
Ailin,2014,345.0
Ailin,2015,353.0
Ailin,2016,358.0
Ailin,2017,364.0
Ailin,2018,370.0
Ailin,2019,372.0
Ailin,2020,377.0
Ailin,2021,387.0
Ailin,2022,389.0
Ailin,2023,394.0
Ailin,2024,395.0
Aimee,2013,
Aimee,2014,
Aimee,2015,
Aimee,2016,
Aimee,2017,
Aimee,2018,
Aimee,2019,
Aimee,2020,
Aimee,2021,
Aimee,2022,202.0
Aimee,2023,202.0
Aimee,2024,212.0
Aina,2013,3970.0
Aina,2014,3972.0
Aina,2015,3973.0
Aina,2016,3966.0
Aina,2017,3958.0
Aina,2018,3946.0
Aina,2019,3932.0
Aina,2020,3931.0
Aina,2021,3996.0
Aina,2022,3991.0
Aina,2023,3987.0
Aina,2024,3968.0
Aisha,2013,633.0
Aisha,2014,687.0
Aisha,2015,725.0
Aisha,2016,800.0
Aisha,2017,869.0
Aisha,2018,908.0
Aisha,2019,937.0
Aisha,2020,969.0
Aisha,2021,1002.0
Aisha,2022,1046.0
Aisha,2023,1092.0
Aisha,2024,1139.0
Alaa,2013,
Alaa,2014,
Alaa,2015,
Alaa,2016,
Alaa,2017,
Alaa,2018,
Alaa,2019,
Alaa,2020,
Alaa,2021,
Alaa,2022,
Alaa,2023,215.0
Alaa,2024,220.0
Alba,2013,
Alba,2014,
Alba,2015,208.0
Alba,2016,237.0
Alba,2017,267.0
Alba,2018,292.0
Alba,2019,322.0
Alba,2020,351.0
Alba,2021,408.0
Alba,2022,464.0
Alba,2023,513.0
Alba,2024,569.0
Aleksandra,2013,1252.0
Aleksandra,2014,1387.0
Aleksandra,2015,1475.0
Aleksandra,2016,1530.0
Aleksandra,2017,1585.0
Aleksandra,2018,1641.0
Aleksandra,2019,1695.0
Aleksandra,2020,1756.0
Aleksandra,2021,1826.0
Aleksandra,2022,1910.0
Aleksandra,2023,2030.0
Aleksandra,2024,2074.0
Alette,2013,277.0
Alette,2014,285.0
Alette,2015,287.0
Alette,2016,292.0
Alette,2017,295.0
Alette,2018,296.0
Alette,2019,296.0
Alette,2020,299.0
Alette,2021,308.0
Alette,2022,312.0
Alette,2023,317.0
Alette,2024,321.0
Alexandra,2013,2073.0
Alexandra,2014,2153.0
Alexandra,2015,2245.0
Alexandra,2016,2308.0
Alexandra,2017,2374.0
Alexandra,2018,2467.0
Alexandra,2019,2532.0
Alexandra,2020,2575.0
Alexandra,2021,2702.0
Alexandra,2022,2765.0
Alexandra,2023,2827.0
Alexandra,2024,2892.0
Alfhild,2013,1133.0
Alfhild,2014,1068.0
Alfhild,2015,1000.0
Alfhild,2016,951.0
Alfhild,2017,889.0
Alfhild,2018,834.0
Alfhild,2019,790.0
Alfhild,2020,742.0
Alfhild,2021,698.0
Alfhild,2022,656.0
Alfhild,2023,616.0
Alfhild,2024,583.0
Alia,2013,
Alia,2014,
Alia,2015,
Alia,2016,
Alia,2017,
Alia,2018,
Alia,2019,
Alia,2020,
Alia,2021,
Alia,2022,200.0
Alia,2023,203.0
Alia,2024,216.0
Alice,2013,1336.0
Alice,2014,1356.0
Alice,2015,1402.0
Alice,2016,1441.0
Alice,2017,1462.0
Alice,2018,1488.0
Alice,2019,1515.0
Alice,2020,1538.0
Alice,2021,1573.0
Alice,2022,1611.0
Alice,2023,1654.0
Alice,2024,1689.0
Alicia,2013,259.0
Alicia,2014,273.0
Alicia,2015,316.0
Alicia,2016,329.0
Alicia,2017,350.0
Alicia,2018,372.0
Alicia,2019,402.0
Alicia,2020,412.0
Alicia,2021,433.0
Alicia,2022,438.0
Alicia,2023,457.0
Alicia,2024,472.0
Alicja,2013,337.0
Alicja,2014,371.0
Alicja,2015,395.0
Alicja,2016,418.0
Alicja,2017,436.0
Alicja,2018,445.0
Alicja,2019,465.0
Alicja,2020,465.0
Alicja,2021,486.0
Alicja,2022,514.0
Alicja,2023,533.0
Alicja,2024,556.0
Alida,2013,523.0
Alida,2014,548.0
Alida,2015,592.0
Alida,2016,622.0
Alida,2017,640.0
Alida,2018,671.0
Alida,2019,699.0
Alida,2020,724.0
Alida,2021,750.0
Alida,2022,768.0
Alida,2023,788.0
Alida,2024,803.0
Alina,2013,754.0
Alina,2014,839.0
Alina,2015,1009.0
Alina,2016,1082.0
Alina,2017,1137.0
Alina,2018,1206.0
Alina,2019,1261.0
Alina,2020,1320.0
Alina,2021,1436.0
Alina,2022,1728.0
Alina,2023,2000.0
Alina,2024,2167.0
Aline,2013,
Aline,2014,210.0
Aline,2015,225.0
Aline,2016,241.0
Aline,2017,253.0
Aline,2018,270.0
Aline,2019,291.0
Aline,2020,301.0
Aline,2021,315.0
Aline,2022,324.0
Aline,2023,332.0
Aline,2024,348.0
Alisa,2013,207.0
Alisa,2014,218.0
Alisa,2015,237.0
Alisa,2016,252.0
Alisa,2017,265.0
Alisa,2018,282.0
Alisa,2019,302.0
Alisa,2020,321.0
Alisa,2021,349.0
Alisa,2022,491.0
Alisa,2023,595.0
Alisa,2024,639.0
Alise,2013,476.0
Alise,2014,484.0
Alise,2015,496.0
Alise,2016,504.0
Alise,2017,517.0
Alise,2018,528.0
Alise,2019,536.0
Alise,2020,548.0
Alise,2021,561.0
Alise,2022,580.0
Alise,2023,596.0
Alise,2024,607.0
Alla,2013,
Alla,2014,
Alla,2015,
Alla,2016,
Alla,2017,
Alla,2018,
Alla,2019,
Alla,2020,
Alla,2021,
Alla,2022,310.0
Alla,2023,450.0
Alla,2024,506.0
Alma,2013,1736.0
Alma,2014,1883.0
Alma,2015,2047.0
Alma,2016,2242.0
Alma,2017,2468.0
Alma,2018,2655.0
Alma,2019,2890.0
Alma,2020,3095.0
Alma,2021,3396.0
Alma,2022,3642.0
Alma,2023,3920.0
Alma,2024,4184.0
Alona,2013,
Alona,2014,
Alona,2015,
Alona,2016,
Alona,2017,
Alona,2018,
Alona,2019,
Alona,2020,
Alona,2021,
Alona,2022,
Alona,2023,313.0
Alona,2024,367.0
Alva,2013,1073.0
Alva,2014,1183.0
Alva,2015,1267.0
Alva,2016,1359.0
Alva,2017,1463.0
Alva,2018,1564.0
Alva,2019,1641.0
Alva,2020,1741.0
Alva,2021,1827.0
Alva,2022,1897.0
Alva,2023,1971.0
Alva,2024,2048.0
Alvhild,2013,540.0
Alvhild,2014,519.0
Alvhild,2015,502.0
Alvhild,2016,485.0
Alvhild,2017,470.0
Alvhild,2018,452.0
Alvhild,2019,432.0
Alvhild,2020,412.0
Alvhild,2021,387.0
Alvhild,2022,358.0
Alvhild,2023,341.0
Alvhild,2024,324.0
Alvilde,2013,332.0
Alvilde,2014,352.0
Alvilde,2015,367.0
Alvilde,2016,389.0
Alvilde,2017,405.0
Alvilde,2018,417.0
Alvilde,2019,431.0
Alvilde,2020,453.0
Alvilde,2021,468.0
Alvilde,2022,479.0
Alvilde,2023,492.0
Alvilde,2024,503.0
Amal,2013,327.0
Amal,2014,351.0
Amal,2015,394.0
Amal,2016,432.0
Amal,2017,480.0
Amal,2018,505.0
Amal,2019,526.0
Amal,2020,541.0
Amal,2021,562.0
Amal,2022,579.0
Amal,2023,605.0
Amal,2024,628.0
Amalia,2013,
Amalia,2014,
Amalia,2015,
Amalia,2016,
Amalia,2017,
Amalia,2018,
Amalia,2019,202.0
Amalia,2020,212.0
Amalia,2021,231.0
Amalia,2022,244.0
Amalia,2023,252.0
Amalia,2024,269.0
Amalie,2013,6409.0
Amalie,2014,6683.0
Amalie,2015,6923.0
Amalie,2016,7130.0
Amalie,2017,7348.0
Amalie,2018,7616.0
Amalie,2019,7860.0
Amalie,2020,8094.0
Amalie,2021,8376.0
Amalie,2022,8582.0
Amalie,2023,8795.0
Amalie,2024,8985.0
Amanda,2013,3035.0
Amanda,2014,3200.0
Amanda,2015,3344.0
Amanda,2016,3525.0
Amanda,2017,3664.0
Amanda,2018,3825.0
Amanda,2019,4013.0
Amanda,2020,4169.0
Amanda,2021,4385.0
Amanda,2022,4532.0
Amanda,2023,4673.0
Amanda,2024,4797.0
Amelia,2013,703.0
Amelia,2014,807.0
Amelia,2015,919.0
Amelia,2016,1051.0
Amelia,2017,1179.0
Amelia,2018,1302.0
Amelia,2019,1449.0
Amelia,2020,1593.0
Amelia,2021,1737.0
Amelia,2022,1897.0
Amelia,2023,2077.0
Amelia,2024,2239.0
Amelie,2013,203.0
Amelie,2014,236.0
Amelie,2015,258.0
Amelie,2016,277.0
Amelie,2017,299.0
Amelie,2018,309.0
Amelie,2019,337.0
Amelie,2020,342.0
Amelie,2021,244.0
Amelie,2022,376.0
Amelie,2023,390.0
Amelie,2024,404.0
Amina,2013,1003.0
Amina,2014,1060.0
Amina,2015,1127.0
Amina,2016,1191.0
Amina,2017,1264.0
Amina,2018,1315.0
Amina,2019,1356.0
Amina,2020,1383.0
Amina,2021,1420.0
Amina,2022,1488.0
Amina,2023,1551.0
Amina,2024,1614.0
Amira,2013,279.0
Amira,2014,300.0
Amira,2015,334.0
Amira,2016,368.0
Amira,2017,403.0
Amira,2018,445.0
Amira,2019,474.0
Amira,2020,496.0
Amira,2021,524.0
Amira,2022,563.0
Amira,2023,601.0
Amira,2024,636.0
Amna,2013,210.0
Amna,2014,224.0
Amna,2015,231.0
Amna,2016,244.0
Amna,2017,254.0
Amna,2018,266.0
Amna,2019,274.0
Amna,2020,280.0
Amna,2021,287.0
Amna,2022,301.0
Amna,2023,315.0
Amna,2024,323.0
Amy,2013,376.0
Amy,2014,378.0
Amy,2015,385.0
Amy,2016,393.0
Amy,2017,404.0
Amy,2018,412.0
Amy,2019,431.0
Amy,2020,433.0
Amy,2021,458.0
Amy,2022,461.0
Amy,2023,467.0
Amy,2024,473.0
Ana,2013,961.0
Ana,2014,1049.0
Ana,2015,1154.0
Ana,2016,1208.0
Ana,2017,1240.0
Ana,2018,1301.0
Ana,2019,1375.0
Ana,2020,1430.0
Ana,2021,1607.0
Ana,2022,1684.0
Ana,2023,1749.0
Ana,2024,1805.0
Anastasia,2013,298.0
Anastasia,2014,313.0
Anastasia,2015,330.0
Anastasia,2016,351.0
Anastasia,2017,374.0
Anastasia,2018,394.0
Anastasia,2019,423.0
Anastasia,2020,446.0
Anastasia,2021,470.0
Anastasia,2022,541.0
Anastasia,2023,569.0
Anastasia,2024,594.0
Anastasiia,2013,
Anastasiia,2014,
Anastasiia,2015,
Anastasiia,2016,
Anastasiia,2017,
Anastasiia,2018,
Anastasiia,2019,
Anastasiia,2020,
Anastasiia,2021,
Anastasiia,2022,745.0
Anastasiia,2023,1330.0
Anastasiia,2024,1607.0
Anbjørg,2013,366.0
Anbjørg,2014,352.0
Anbjørg,2015,343.0
Anbjørg,2016,333.0
Anbjørg,2017,328.0
Anbjørg,2018,317.0
Anbjørg,2019,308.0
Anbjørg,2020,300.0
Anbjørg,2021,286.0
Anbjørg,2022,275.0
Anbjørg,2023,267.0
Anbjørg,2024,253.0
Andrea,2013,6917.0
Andrea,2014,7070.0
Andrea,2015,7193.0
Andrea,2016,7289.0
Andrea,2017,7391.0
Andrea,2018,7496.0
Andrea,2019,7598.0
Andrea,2020,7705.0
Andrea,2021,7756.0
Andrea,2022,7912.0
Andrea,2023,8006.0
Andrea,2024,8073.0
Andreea,2013,
Andreea,2014,
Andreea,2015,
Andreea,2016,
Andreea,2017,
Andreea,2018,
Andreea,2019,
Andreea,2020,
Andreea,2021,
Andreea,2022,235.0
Andreea,2023,246.0
Andreea,2024,262.0
Andrine,2013,1561.0
Andrine,2014,1596.0
Andrine,2015,1616.0
Andrine,2016,1638.0
Andrine,2017,1662.0
