fornavn,år,antall
Adrian,2014,8689.0
Adrian,2015,8969.0
Adrian,2016,9203.0
Adrian,2017,9412.0
Adrian,2018,9635.0
Adrian,2019,9843.0
Adrian,2020,10039.0
Adrian,2021,10349.0
Adrian,2022,10495.0
Adrian,2023,10665.0
Adrian,2024,10797.0
Agnar,2013,939.0
Agnar,2014,928.0
Agnar,2015,913.0
Agnar,2016,890.0
Agnar,2017,858.0
Agnar,2018,833.0
Agnar,2019,814.0
Agnar,2020,793.0
Agnar,2021,776.0
Agnar,2022,755.0
Agnar,2023,742.0
Agnar,2024,716.0
Ahmad,2013,827.0
Ahmad,2014,932.0
Ahmad,2015,1114.0
Ahmad,2016,1578.0
Ahmad,2017,1821.0
Ahmad,2018,1947.0
Ahmad,2019,2010.0
Ahmad,2020,2042.0
Ahmad,2021,2127.0
Ahmad,2022,2242.0
Ahmad,2023,2346.0
Ahmad,2024,2467.0
Ahmed,2013,2244.0
Ahmed,2014,2347.0
Ahmed,2015,2486.0
Ahmed,2016,2614.0
Ahmed,2017,2720.0
Ahmed,2018,2768.0
Ahmed,2019,2817.0
Ahmed,2020,2826.0
Ahmed,2021,2873.0
Ahmed,2022,2937.0
Ahmed,2023,2989.0
Ahmed,2024,3063.0
Ahmet,2013,306.0
Ahmet,2014,315.0
Ahmet,2015,316.0
Ahmet,2016,316.0
Ahmet,2017,323.0
Ahmet,2018,328.0
Ahmet,2019,348.0
Ahmet,2020,358.0
Ahmet,2021,360.0
Ahmet,2022,379.0
Ahmet,2023,387.0
Ahmet,2024,395.0
Aiden,2013,
Aiden,2014,
Aiden,2015,
Aiden,2016,
Aiden,2017,
Aiden,2018,
Aiden,2019,202.0
Aiden,2020,210.0
Aiden,2021,219.0
Aiden,2022,239.0
Aiden,2023,264.0
Aiden,2024,280.0
Ailo,2013,210.0
Ailo,2014,242.0
Ailo,2015,273.0
Ailo,2016,308.0
Ailo,2017,345.0
Ailo,2018,372.0
Ailo,2019,410.0
Ailo,2020,450.0
Ailo,2021,496.0
Ailo,2022,538.0
Ailo,2023,575.0
Ailo,2024,604.0
Akram,2013,
Akram,2014,
Akram,2015,
Akram,2016,
Akram,2017,
Akram,2018,
Akram,2019,
Akram,2020,
Akram,2021,
Akram,2022,
Akram,2023,209.0
Akram,2024,224.0
Aksel,2013,3568.0
Aksel,2014,3839.0
Aksel,2015,4115.0
Aksel,2016,4397.0
Aksel,2017,4615.0
Aksel,2018,4873.0
Aksel,2019,5114.0
Aksel,2020,5343.0
Aksel,2021,5679.0
Aksel,2022,5929.0
Aksel,2023,6105.0
Aksel,2024,6327.0
Alaa,2013,
Alaa,2014,
Alaa,2015,
Alaa,2016,
Alaa,2017,
Alaa,2018,
Alaa,2019,
Alaa,2020,
Alaa,2021,
Alaa,2022,216.0
Alaa,2023,221.0
Alaa,2024,235.0
Alan,2013,625.0
Alan,2014,653.0
Alan,2015,693.0
Alan,2016,725.0
Alan,2017,753.0
Alan,2018,772.0
Alan,2019,780.0
Alan,2020,804.0
Alan,2021,818.0
Alan,2022,837.0
Alan,2023,870.0
Alan,2024,897.0
Albert,2013,1330.0
Albert,2014,1412.0
Albert,2015,1505.0
Albert,2016,1591.0
Albert,2017,1681.0
Albert,2018,1762.0
Albert,2019,1873.0
Albert,2020,1966.0
Albert,2021,2100.0
Albert,2022,2199.0
Albert,2023,2300.0
Albert,2024,2407.0
Alejandro,2013,
Alejandro,2014,
Alejandro,2015,212.0
Alejandro,2016,206.0
Alejandro,2017,204.0
Alejandro,2018,209.0
Alejandro,2019,226.0
Alejandro,2020,236.0
Alejandro,2021,260.0
Alejandro,2022,286.0
Alejandro,2023,292.0
Alejandro,2024,302.0
Aleksandar,2013,240.0
Aleksandar,2014,275.0
Aleksandar,2015,302.0
Aleksandar,2016,325.0
Aleksandar,2017,349.0
Aleksandar,2018,378.0
Aleksandar,2019,414.0
Aleksandar,2020,420.0
Aleksandar,2021,445.0
Aleksandar,2022,464.0
Aleksandar,2023,470.0
Aleksandar,2024,487.0
Aleksander,2013,6593.0
Aleksander,2014,6747.0
Aleksander,2015,6904.0
Aleksander,2016,7018.0
Aleksander,2017,7130.0
Aleksander,2018,7201.0
Aleksander,2019,7283.0
Aleksander,2020,7365.0
Aleksander,2021,7439.0
Aleksander,2022,7506.0
Aleksander,2023,7575.0
Aleksander,2024,7631.0
Aleksandr,2013,211.0
Aleksandr,2014,214.0
Aleksandr,2015,226.0
Aleksandr,2016,223.0
Aleksandr,2017,223.0
Aleksandr,2018,238.0
Aleksandr,2019,244.0
Aleksandr,2020,250.0
Aleksandr,2021,
Aleksandr,2022,281.0
Aleksandr,2023,287.0
Aleksandr,2024,301.0
Aleksandrs,2013,
Aleksandrs,2014,
Aleksandrs,2015,205.0
Aleksandrs,2016,208.0
Aleksandrs,2017,205.0
Aleksandrs,2018,
Aleksandrs,2019,204.0
Aleksandrs,2020,212.0
Aleksandrs,2021,224.0
Aleksandrs,2022,229.0
Aleksandrs,2023,230.0
Aleksandrs,2024,234.0
Alex,2013,665.0
Alex,2014,726.0
Alex,2015,785.0
Alex,2016,841.0
Alex,2017,873.0
Alex,2018,916.0
Alex,2019,951.0
Alex,2020,995.0
Alex,2021,1048.0
Alex,2022,1093.0
Alex,2023,1134.0
Alex,2024,1172.0
Alexander,2013,10468.0
Alexander,2014,10708.0
Alexander,2015,10927.0
Alexander,2016,11141.0
Alexander,2017,11319.0
Alexander,2018,11496.0
Alexander,2019,11664.0
Alexander,2020,11820.0
Alexander,2021,11966.0
Alexander,2022,12096.0
Alexander,2023,12223.0
Alexander,2024,12331.0
Alexandru,2013,
Alexandru,2014,
Alexandru,2015,211.0
Alexandru,2016,222.0
Alexandru,2017,230.0
Alexandru,2018,235.0
Alexandru,2019,257.0
Alexandru,2020,269.0
Alexandru,2021,386.0
Alexandru,2022,410.0
Alexandru,2023,420.0
Alexandru,2024,450.0
Alf,2013,8206.0
Alf,2014,8031.0
Alf,2015,7861.0
Alf,2016,7675.0
Alf,2017,7529.0
Alf,2018,7337.0
Alf,2019,7146.0
Alf,2020,7001.0
Alf,2021,7173.0
Alf,2022,7002.0
Alf,2023,6844.0
Alf,2024,6709.0
Alfred,2013,1702.0
Alfred,2014,1789.0
Alfred,2015,1894.0
Alfred,2016,2001.0
Alfred,2017,2117.0
Alfred,2018,2252.0
Alfred,2019,2383.0
Alfred,2020,2568.0
Alfred,2021,2762.0
Alfred,2022,2945.0
Alfred,2023,3138.0
Alfred,2024,3339.0
Ali,2013,3028.0
Ali,2014,3139.0
Ali,2015,3258.0
Ali,2016,3497.0
Ali,2017,3651.0
Ali,2018,3766.0
Ali,2019,3867.0
Ali,2020,3907.0
Ali,2021,4013.0
Ali,2022,4109.0
Ali,2023,4205.0
Ali,2024,4325.0
Allan,2013,620.0
Allan,2014,628.0
Allan,2015,629.0
Allan,2016,629.0
Allan,2017,625.0
Allan,2018,624.0
Allan,2019,627.0
Allan,2020,628.0
Allan,2021,624.0
Allan,2022,629.0
Allan,2023,624.0
Allan,2024,619.0
Alv,2013,355.0
Alv,2014,350.0
Alv,2015,341.0
Alv,2016,327.0
Alv,2017,319.0
Alv,2018,306.0
Alv,2019,296.0
Alv,2020,294.0
Alv,2021,302.0
Alv,2022,299.0
Alv,2023,295.0
Alv,2024,283.0
Alvar,2013,
Alvar,2014,
Alvar,2015,
Alvar,2016,
Alvar,2017,
Alvar,2018,
Alvar,2019,
Alvar,2020,
Alvar,2021,
Alvar,2022,
Alvar,2023,200.0
Alvar,2024,212.0
Alvin,2013,394.0
Alvin,2014,422.0
Alvin,2015,460.0
Alvin,2016,488.0
Alvin,2017,518.0
Alvin,2018,551.0
Alvin,2019,583.0
Alvin,2020,608.0
Alvin,2021,635.0
Alvin,2022,664.0
Alvin,2023,714.0
Alvin,2024,755.0
Amanuel,2013,
Amanuel,2014,
Amanuel,2015,223.0
Amanuel,2016,250.0
Amanuel,2017,264.0
Amanuel,2018,282.0
Amanuel,2019,286.0
Amanuel,2020,289.0
Amanuel,2021,292.0
Amanuel,2022,298.0
Amanuel,2023,303.0
Amanuel,2024,306.0
Amar,2013,
Amar,2014,
Amar,2015,
Amar,2016,204.0
Amar,2017,216.0
Amar,2018,220.0
Amar,2019,227.0
Amar,2020,234.0
Amar,2021,242.0
Amar,2022,255.0
Amar,2023,260.0
Amar,2024,268.0
Amer,2013,
Amer,2014,
Amer,2015,
Amer,2016,
Amer,2017,
Amer,2018,203.0
Amer,2019,205.0
Amer,2020,208.0
Amer,2021,210.0
Amer,2022,212.0
Amer,2023,219.0
Amer,2024,231.0
Amin,2013,285.0
Amin,2014,299.0
Amin,2015,322.0
Amin,2016,342.0
Amin,2017,355.0
Amin,2018,370.0
Amin,2019,378.0
Amin,2020,395.0
Amin,2021,400.0
Amin,2022,406.0
Amin,2023,421.0
Amin,2024,436.0
Amir,2013,803.0
Amir,2014,848.0
Amir,2015,889.0
Amir,2016,974.0
Amir,2017,1025.0
Amir,2018,1075.0
Amir,2019,1110.0
Amir,2020,1153.0
Amir,2021,1207.0
Amir,2022,1260.0
Amir,2023,1322.0
Amir,2024,1376.0
Ammar,2013,
Ammar,2014,
Ammar,2015,
Ammar,2016,215.0
Ammar,2017,240.0
Ammar,2018,262.0
Ammar,2019,271.0
Ammar,2020,284.0
Ammar,2021,292.0
Ammar,2022,297.0
Ammar,2023,313.0
Ammar,2024,324.0
Amund,2013,2346.0
Amund,2014,2395.0
Amund,2015,2445.0
Amund,2016,2495.0
Amund,2017,2552.0
Amund,2018,2593.0
Amund,2019,2652.0
Amund,2020,2710.0
Amund,2021,2783.0
Amund,2022,2841.0
Amund,2023,2898.0
Amund,2024,2960.0
Anas,2013,212.0
Anas,2014,247.0
Anas,2015,275.0
Anas,2016,338.0
Anas,2017,381.0
Anas,2018,398.0
Anas,2019,411.0
Anas,2020,423.0
Anas,2021,444.0
Anas,2022,462.0
Anas,2023,474.0
Anas,2024,483.0
Anatolii,2013,
Anatolii,2014,
Anatolii,2015,
